Thème,Code,Verbatim,Fichier
Thème 1 : L'intelligence artificielle et la prise de décision,L'IA comme outil de décision,"""Je me suis posé la question, qu’est-ce que ça aurait été si à la place du pilote, il y avait eu une IA.""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,La conscience de l'IA,"""Est-ce qu’elle aurait eu la conscience de se dire « cette personne c’est potentiellement pas un taliban mais juste un paysan qui fait sa vie »""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,La programmation de l'IA,"""Elles sont programmées pour faire X ou Y chose mais est-ce qu’elle aurait eu la conscience de se dire""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,La responsabilité de l'IA,"""Est-ce qu’elle aurait eu la conscience de se dire « ce que mec là c’est un ennemi donc je largue ma bombe et je fais des dommages collatéraux »""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,La relation entre l'IA et l'humain,"""Je trouve pas les mots mais… une sorte de... pas de Messie, mais un peu quand même de...""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,La limite de l'IA,"""Est-ce que je largue ma bombe, est-ce que je tire sous prétexte de choses que je pense savoir, ou est-ce que je ne laisse passer rien""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,La fiabilité de l'IA,"""Je ne suis pas sûr que le mec était armé, je n'étais pas sûr que le mec soit un soldat""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,La transparence de l'IA,"""Je n'étais pas très sûr que le mec était armé, je n'étais pas sûr que le mec soit un soldat""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,La régulation de l'IA,"""Est-ce que je largue ma bombe, est-ce que je tire sous prétexte de choses que je pense savoir, ou est-ce que je ne laisse passer rien""",tableau_thematique_segment_2.txt
Thème 1 : L'intelligence artificielle et la prise de décision,L'impact de l'IA sur la société,"""Je me suis posé la question, qu’est-ce que ça aurait été si à la place du pilote, il y avait eu une IA""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour la recherche d'information,"""Je lui demande de me réexpliquer certains concepts que j'ai pas compris""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour la rédaction,"""Je considère que... Mais même après, bon, y a aussi, je veux dire, un dilemme moral""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour la vérification des sources,"""Il s’agit de fait que tu peux vérifier, j’ai la flemme de regarder dans un livre ou sur internet""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour la recherche pure et dure,"""Surtout, beaucoup, c'est vraiment pour... pour de la recherche, pour de la recherche pure et dure""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour le traitement de l'information,"""Je lui demande de me réexpliquer certains concepts que j'ai pas compris""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour la génération de contenu,"""Je considère que... Mais même après, bon, y a aussi, je veux dire, un dilemme moral""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour la révision,"""Je me limite à la recherche d’info ou l’extrême rigueur""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour la planification,"""Je lui demande de me réexpliquer certains concepts que j'ai pas compris""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour la prise de décision,"""Je considère que... Mais même après, bon, y a aussi, je veux dire, un dilemme moral""",tableau_thematique_segment_2.txt
Thème 2 : L'utilisation de l'IA dans la recherche,L'utilisation de l'IA pour l'apprentissage,"""Surtout, beaucoup, c'est vraiment pour... pour de la recherche, pour de la recherche pure et dure""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La confiance en l'IA,"""Je trouve pas les mots mais… une sorte de... pas de Messie, mais un peu quand même de...""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La dépendance à l'IA,"""Moi cependant la limite que je me fixerai et les barrières que j'en aurai c'est du moment où la technologie peut potentiellement échapper à mon contrôle""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La responsabilité de l'humain,"""Est-ce qu’elle aurait eu la conscience de se dire « ce que mec là c’est un ennemi donc je largue ma bombe et je fais des dommages collatéraux »""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La créativité de l'humain,"""Moi ça sera uniquement sur ce que moi je pense, parce qu’une IA, à mon sens, ne pourra jamais penser comme un humain""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La relation entre l'IA et la créativité humaine,"""Les solutions qu'apportera une IA ne sont jamais à la hauteur et ne donneront jamais éventuellement, le charme, le chic que celle que pourrait apporter celle d’un humain""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La relation entre l'IA et la prise de décision humaine,"""Je considère que... Mais même après, bon, y a aussi, je veux dire, un dilemme moral""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La relation entre l'IA et la réflexion humaine,"""Moi ça sera uniquement sur ce que moi je pense, parce qu’une IA, à mon sens, ne pourra jamais penser comme un humain""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La relation entre l'IA et la pensée humaine,"""Les solutions qu'apportera une IA ne sont jamais à la hauteur et ne donneront jamais éventuellement, le charme, le chic que celle que pourrait apporter celle d’un humain""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La relation entre l'IA et la créativité humaine,"""Moi ça sera uniquement sur ce que moi je pense, parce qu’une IA, à mon sens, ne pourra jamais penser comme un humain""",tableau_thematique_segment_2.txt
Thème 3 : La relation entre l'IA et l'humain,La relation entre l'IA et la décision humaine,"""Je considère que... Mais même après, bon, y a aussi, je veux dire, un dilemme moral""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur l'emploi,"""Je me suis posé la question, qu’est-ce que ça aurait été si à la place du pilote, il y avait eu une IA""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur la sécurité,"""Est-ce qu’elle aurait eu la conscience de se dire « ce que mec là c’est un ennemi donc je largue ma bombe et je fais des dommages collatéraux »""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur l'environnement,"""Moi cependant la limite que je me fixerai et les barrières que j'en aurai c'est du moment où la technologie peut potentiellement échapper à mon contrôle""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur la démocratie,"""Je considère que... Mais même après, bon, y a aussi, je veux dire, un dilemme moral""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur la santé,"""Il y a aussi une période ou de rare moment de m’expliquer certains concepts médicaux""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur l'éducation,"""Surtout, beaucoup, c'est vraiment pour... pour de la recherche, pour de la recherche pure et dure""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur la relation humaine,"""Je trouve pas les mots mais… une sorte de... pas de Messie, mais un peu quand même de...""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur la culture,"""Les solutions qu'apportera une IA ne sont jamais à la hauteur et ne donneront jamais éventuellement, le charme, le chic que celle que pourrait apporter celle d’un humain""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur la société en général,"""Je me suis posé la question, qu’est-ce que ça aurait été si à la place du pilote, il y avait eu une IA""",tableau_thematique_segment_2.txt
Thème 4 : L'impact de l'IA sur la société,L'impact de l'IA sur le futur,"""Moi cependant la limite que je me fixerai et les barrières que j'en aurai c'est du moment où la technologie peut potentiellement échapper à mon contrôle""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,La nécessité de réguler l'IA,"""Moi cependant la limite que je me fixerai et les barrières que j'en aurai c'est du moment où la technologie peut potentiellement échapper à mon contrôle""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,Les défis de la régulation de l'IA,"""Est-ce qu’elle aurait eu la conscience de se dire « ce que mec là c’est un ennemi donc je largue ma bombe et je fais des dommages collatéraux »""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,Les conséquences de la non-régulation de l'IA,"""Je me suis posé la question, qu’est-ce que ça aurait été si à la place du pilote, il y avait eu une IA""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,Les acteurs de la régulation de l'IA,"""Je considère que... Mais même après, bon, y a aussi, je veux dire, un dilemme moral""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,Les outils de la régulation de l'IA,"""Moi cependant la limite que je me fixerai et les barrières que j'en aurai c'est du moment où la technologie peut potentiellement échapper à mon contrôle""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,La transparence dans la régulation de l'IA,"""Est-ce qu’elle aurait eu la conscience de se dire « ce que mec là c’est un ennemi donc je largue ma bombe et je fais des dommages collatéraux »""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,La responsabilité dans la régulation de l'IA,"""Je me suis posé la question, qu’est-ce que ça aurait été si à la place du pilote, il y avait eu une IA""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,La sécurité dans la régulation de l'IA,"""Moi cependant la limite que je me fixerai et les barrières que j'en aurai c'est du moment où la technologie peut potentiellement échapper à mon contrôle""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,L'éthique dans la régulation de l'IA,"""Je considère que... Mais même après, bon, y a aussi, je veux dire, un dilemme moral""",tableau_thematique_segment_2.txt
Thème 5 : La régulation de l'IA,La gouvernance dans la régulation de l'IA,"""Moi cependant la limite que je me fixerai et les barrières que j'en aurai c'est du moment où la technologie peut potentiellement échapper à mon contrôle""",tableau_thematique_segment_2.txt
