Thème,Code,Verbatim,Fichier
1: Utilisation et perception de ChatGPT**,1: Utilisation de ChatGPT pour la recherche d'informations,"rien que sur une théorie, j'aurais dû faire peut-être 30 minutes de recherche pour bien comprendre ce que l'auteur voulait dire alors que là avec ChatGPT en 10 minutes on comprend quoi",groupe_2_part_3.txt
1: Utilisation et perception de ChatGPT**,2: Gain de temps dans la recherche,en 10 minutes on comprend quoi,groupe_2_part_3.txt
1: Utilisation et perception de ChatGPT**,3: Perception de la qualité de ChatGPT,je mettrai 9 sur 10 je pense en termes de recherche d'info,groupe_2_part_3.txt
2: Impact de ChatGPT sur l'apprentissage et la recherche**,4: Impact sur la compréhension,on comprend quoi,groupe_2_part_3.txt
2: Impact de ChatGPT sur l'apprentissage et la recherche**,5: Utilisation de ChatGPT pour des tâches spécifiques,je lui ai demandé de faire la biographie d'un auteur,groupe_2_part_3.txt
2: Impact de ChatGPT sur l'apprentissage et la recherche**,6: Satisfaction du résultat sans apprentissage,"Donc bah je l'ai utilisé, je l'ai mis dans mon rendu, j'ai rendu mon papier et voilà",groupe_2_part_3.txt
3: Légitimité et limites de ChatGPT**,7: Perception de la légitimité de ChatGPT,Je pense qu'elle est légitime pour toutes les matières,groupe_2_part_3.txt
3: Légitimité et limites de ChatGPT**,8: Limitations de ChatGPT,il ne créera jamais quelque chose,groupe_2_part_3.txt
3: Légitimité et limites de ChatGPT**,9: Nécessité d'une utilisation responsable,c'est justement ce qu'on attend alors que ChatGPT non,groupe_2_part_3.txt
4: Intégration de ChatGPT dans les études et la recherche**,10: Utilisation de ChatGPT comme outil d'accompagnement,il m'accompagne oui,groupe_2_part_3.txt
4: Intégration de ChatGPT dans les études et la recherche**,11: Encadrement de l'utilisation de ChatGPT par les enseignants,les profs nous ils nous encouragent pas à le faire mais ils savent qu'on le fait et ça les dérange pas plus que ça,groupe_2_part_3.txt
4: Intégration de ChatGPT dans les études et la recherche**,12: Développement de l'esprit critique face aux outils numériques,"vos critiques à vous bah elles sont meilleures que les critiques de ChatGPT parce que vous, vous avez un bagage universitaire",groupe_2_part_3.txt
1: Perception et utilisation de ChatGPT**,1: Utilisation réfléchie,ça me fait aussi réfléchir à ma propre utilisation,groupe_2_part_4.txt
1: Perception et utilisation de ChatGPT**,2: Prise de conscience de la dépendance,surtout quand tu as parlé de dépendance je pense que c'est pas... je le percevais pas forcément comme ça,groupe_2_part_4.txt
1: Perception et utilisation de ChatGPT**,3: Impact sur la rédaction et la réflexion académique,"comme une manière de présenter ChatGPT comme un outil, savoir ce qui peut être utile pour accompagner un processus de rédaction ou de réflexion académique",groupe_2_part_4.txt
1: Perception et utilisation de ChatGPT**,4: Réflexion sur l'approche personnelle,Je pense que ça m'amène aussi un peu à préciser mon approche et à mieux définir ce que j'en fais,groupe_2_part_4.txt
1: Perception et utilisation de ChatGPT**,5: Sentiment de gain de temps,"j'ai l'impression, en le faisant, et donc ça me fait avancer",groupe_2_part_4.txt
2: Légitimité et éthique de l'utilisation de ChatGPT**,1: Perception de la légitimité,Pas toujours.,groupe_2_part_4.txt
2: Légitimité et éthique de l'utilisation de ChatGPT**,2: Légitimité dans certaines tâches,"Là, dans le cas de relecture et de reformulation, je trouve que c'est légitime.",groupe_2_part_4.txt
2: Légitimité et éthique de l'utilisation de ChatGPT**,3: Condition d'usage légitime,Sinon je ne l'utiliserai pas.,groupe_2_part_4.txt
2: Légitimité et éthique de l'utilisation de ChatGPT**,4: Risques d'usage illégitime,"Mais après dans le cadre d'une thèse, je pense que c'est un peu difficile, ou même dans un mémoire, c'est peut-être difficile de vraiment l'utiliser d'une manière illégitime.",groupe_2_part_4.txt
2: Légitimité et éthique de l'utilisation de ChatGPT**,5: Importance de la réflexion personnelle,Il y a de toute façon une réflexion personnelle et on ne peut pas demander à ChatGPT de...,groupe_2_part_4.txt
3: Impact de ChatGPT sur les habitudes de travail**,1: Impact sur l'autonomie,"Je sais que le travail a été... que c'est mon travail de A à Z, mais c'est vraiment la forme qui a bénéficié de cette liberté.",groupe_2_part_4.txt
3: Impact de ChatGPT sur les habitudes de travail**,2: Changement dans la façon d'aborder les difficultés,dès que je suis bloquée à ce niveau-là.,groupe_2_part_4.txt
3: Impact de ChatGPT sur les habitudes de travail**,3: Modification de l'expérience utilisateur,ça me rassure.,groupe_2_part_4.txt
3: Impact de ChatGPT sur les habitudes de travail**,4: Utilisation pour la reformulation,"Notamment, disons, les reformulations.",groupe_2_part_4.txt
3: Impact de ChatGPT sur les habitudes de travail**,5: Impact sur la qualité du travail,mais c'est vraiment la forme qui a bénéficié de cette liberté.,groupe_2_part_4.txt
4: Évaluation de ChatGPT et limites**,1: Fiabilité des sources,"on peut quand même avoir la trace, même si c'est anonyme, des personnes qui ont contribué à la production de la page.",groupe_2_part_4.txt
4: Évaluation de ChatGPT et limites**,2: Limite de ChatGPT,c'est vraiment une synthèse de tout ce qui est disponible sur Internet.,groupe_2_part_4.txt
4: Évaluation de ChatGPT et limites**,3: Utilisation académique,j'utiliserai pas [ChatGPT] s'il n'y a pas de référence,groupe_2_part_4.txt
4: Évaluation de ChatGPT et limites**,4: Recherche de sources,"Après si c'est facile de retrouver sur internet, je le ferais sans doute, d'aller chercher la source.",groupe_2_part_4.txt
4: Évaluation de ChatGPT et limites**,5: Confiance dans les sources,déjà je ne serais pas tellement en confiance,groupe_2_part_4.txt
5: Intégration de ChatGPT dans le milieu académique**,1: Nécessité de formation,Peut-être que des formations ou des...,groupe_2_part_4.txt
5: Intégration de ChatGPT dans le milieu académique**,2: Discussions dans les cours,tout simplement d'en parler dans les cours dispensés à l'université par les enseignants eux-mêmes,groupe_2_part_4.txt
5: Intégration de ChatGPT dans le milieu académique**,3: Positionnement des enseignants,si chaque enseignant ou enseignante donne sa position vis-à-vis de ChatGPT,groupe_2_part_4.txt
5: Intégration de ChatGPT dans le milieu académique**,4: Utilité pour les étudiants,"Ça peut être utile, je pense, pour les étudiantes et les étudiants",groupe_2_part_4.txt
5: Intégration de ChatGPT dans le milieu académique**,5: Perception des enseignants sur l'utilisation de ChatGPT,des enseignants qui ont aussi eux une idée un peu... de ce que peuvent en faire leurs étudiantes et étudiants,groupe_2_part_4.txt
1: Parcours universitaire et expériences,"1: ""C'est par curiosité, j’pense. [...] La socio c'est ce qui me parlait le plus.""","C'est par curiosité, j’pense. [...] La socio c'est ce qui me parlait le plus.",groupe_2_part_5.txt
1: Parcours universitaire et expériences,"4: ""Je me suis dit, la société c'est tellement vaste. Il y a beaucoup de choses, et euh… J'avais l'impression de rien connaître en fait finalement de la société""","Je me suis dit, la société c'est tellement vaste. Il y a beaucoup de choses, et euh… J'avais l'impression de rien connaître en fait finalement de la société",groupe_2_part_5.txt
1: Parcours universitaire et expériences,"6: ""Je suis en master en sociétés plurielles avec option sociologie""",Je suis en master en sociétés plurielles avec option sociologie,groupe_2_part_5.txt
2: Utilisation de ChatGPT et Impact sur l'apprentissage,"1: ""j’étais contente que ChatGPT m’explique un peu les bases""",j’étais contente que ChatGPT m’explique un peu les bases,groupe_2_part_5.txt
2: Utilisation de ChatGPT et Impact sur l'apprentissage,"3: ""Je pense que c'est utile, franchement c'est plutôt utile.""","Je pense que c'est utile, franchement c'est plutôt utile.",groupe_2_part_5.txt
2: Utilisation de ChatGPT et Impact sur l'apprentissage,"2: ""je me disais, Clara, tu deviens trop paresseuse""","je me disais, Clara, tu deviens trop paresseuse",groupe_2_part_5.txt
3: Interactions et expériences sociales dans le contexte universitaire,"1: ""Si j'ai des mails d'étudiants qui me posent des questions, c'est ma priorité je leur réponds.""","Si j'ai des mails d'étudiants qui me posent des questions, c'est ma priorité je leur réponds.",groupe_2_part_5.txt
3: Interactions et expériences sociales dans le contexte universitaire,"3: ""J'étais contente qu'elle me contacte""",J'étais contente qu'elle me contacte,groupe_2_part_5.txt
4: Équilibre entre responsabilités universitaires et autres aspects de la vie,"1: ""Des fois y’a des périodes, c'est un peu chaud""","Des fois y’a des périodes, c'est un peu chaud",groupe_2_part_5.txt
4: Équilibre entre responsabilités universitaires et autres aspects de la vie,"7: ""Il faut encore que je travaille mon organisation""",Il faut encore que je travaille mon organisation,groupe_2_part_5.txt
1: Utilisation et perception de ChatGPT**,1: Découverte et utilisation spontanée,"c'est une utilisation en lettres, mais qui est venue un peu spontanément sur le moment.",groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,2: Nouvelle pratique,"C'est une nouvelle pratique, disons.",groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,3: Évolution de l'utilisation,j'ai toujours plus tendance à essayer de l'utiliser au mieux.,groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,6: Perception positive,je me dis que ça peut toujours plus me faciliter la vie.,groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,8: Développement des compétences,j'ai appris à écrire du code avec ChatGPT.,groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,9: Évolution future,"je pense qu'elle s'élargit, en vrai, toujours plus.",groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,10: Utilisation centrée sur le codage,"la partie codage, qui est toujours la plupart de mon utilisation.",groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,5: Exploration au-delà du codage,j'ai commencé à ajouter toujours plus d'autres choses.,groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,4: Utilisation première pour le codage,"Donc avec le coding, oui.",groupe_2_part_6.txt
1: Utilisation et perception de ChatGPT**,7: Intégration dans les pratiques,ça fait partie de mes nouvelles pratiques sur ChatGPT.,groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,1: Gain de temps,C'est clairement plus rapide.,groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,2: Amélioration de la qualité du travail,"ça m'aide à comprendre les codes, à écrire le code, à le corriger quand il ne marche pas.",groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,4: Modification des techniques d'apprentissage,ça a clairement changé toutes les techniques d'apprentissage.,groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,5: Facilitation de l'apprentissage,ChatGPT le fait pour toi.,groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,8: Impact sur le rapport au temps de travail,je le ferai beaucoup plus rapidement.,groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,3: Compensation d'un manque de background,j'ai pas de background de code.,groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,6: Autonomie dans l'apprentissage,j'ose pas sortir le chatGPT.,groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,7: Différence avec l'aide professorale,"le prof, il donne pas la réponse.",groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,9: Influence sur le choix des cours,j'aurais jamais fait tout ça.,groupe_2_part_6.txt
2: Impact de ChatGPT sur le travail et l'apprentissage**,10: Prémisse à l'utilisation,"ça dépend des cours, ça dépend des choses.",groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,1: Attitude des enseignants face à ChatGPT,"les professeurs, ils se rendent compte de ça.",groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,2: Variabilité dans la politique institutionnelle,il y en a qui bloquent là-dessus.,groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,3: Autorisation ou interdiction d'utiliser ChatGPT,il y en a d'autres où tu peux mettre dans les rendus de code.,groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,6: Perception de l'utilisation par les pairs,tout le monde sait que tout le monde l'utilise.,groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,7: Influence sur la pédagogie,ça change la donne.,groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,8: Réflexion sur l'usage approprié,ça dépend des choses.,groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,4: Transparence dans l'utilisation de ChatGPT,on n'aura pas toute l'identité.,groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,5: Impact sur la documentation et les rendus,on peut pas dans les rendus dire j'ai utilisé chatGPT pour faire ça.,groupe_2_part_6.txt
3: Relation avec les enseignants et l'institution**,9: Évaluation de l'impact,je pense que.,groupe_2_part_6.txt
4: Changement dans les pratiques et l'apprentissage**,1: Nouveauté de la pratique de codage,j'avais pas du tout la pratique du codage avant.,groupe_2_part_6.txt
4: Changement dans les pratiques et l'apprentissage**,2: Début de l'utilisation de ChatGPT pour le codage,"j'ai commencé à faire du coding, à utiliser ChatGPT en même temps.",groupe_2_part_6.txt
4: Changement dans les pratiques et l'apprentissage**,4: Utilité dans le processus d'apprentissage,ça m'aide à comprendre.,groupe_2_part_6.txt
4: Changement dans les pratiques et l'apprentissage**,6: Gain de productivité,c'est plus rapide.,groupe_2_part_6.txt
4: Changement dans les pratiques et l'apprentissage**,7: Impact sur la compréhension,ça m'aide à comprendre les codes.,groupe_2_part_6.txt
4: Changement dans les pratiques et l'apprentissage**,3: Évolution dans l'utilisation,j'ajoute des choses.,groupe_2_part_6.txt
4: Changement dans les pratiques et l'apprentissage**,8: Modification de l'approche pédagogique,ça change les techniques d'apprentissage.,groupe_2_part_6.txt
4: Changement dans les pratiques et l'apprentissage**,9: Évaluation positive de l'outil,ça améliore vraiment.,groupe_2_part_6.txt
